team_fixture_id,team_id,opponent_team_id,gameweek_id,fpl_fixture_id,is_home,difficulty,finished
1,2,9,1,1,1,2,1
2,9,2,1,1,0,5,1
3,14,21,1,4,1,4,1
4,21,14,1,4,0,2,1
5,11,10,1,3,1,3,1
6,10,11,1,3,0,3,1
7,15,29,1,5,1,2,1
8,29,15,1,5,0,2,1
9,25,16,1,6,1,2,1
10,16,25,1,6,0,3,1
11,4,31,1,2,1,3,1
12,31,4,1,2,0,3,1
13,5,3,1,7,1,3,1
14,3,5,1,7,0,3,1
15,20,1,1,8,1,3,1
16,1,20,1,8,0,5,1
17,23,18,1,9,1,4,1
18,18,23,1,9,0,3,1
19,12,8,1,10,1,4,1
20,8,12,1,10,0,3,1
21,10,20,2,11,1,4,1
22,20,10,2,11,0,3,1
23,18,25,2,14,1,3,1
24,25,18,2,14,0,4,1
25,1,11,2,12,1,3,1
26,11,1,2,12,0,3,1
27,9,14,2,13,1,2,1
28,14,9,2,13,0,2,1
29,31,23,2,15,1,2,1
30,23,31,2,15,0,3,1
31,8,5,2,16,1,2,1
32,5,8,2,16,0,4,1
33,16,4,2,17,1,3,1
34,4,16,2,17,0,3,1
35,29,12,2,19,1,2,1
36,12,29,2,19,0,3,1
37,21,15,2,18,1,2,1
38,15,21,2,18,0,4,1
39,3,2,2,20,1,4,1
40,2,3,2,20,0,4,1
41,15,18,3,21,1,4,1
42,18,15,3,21,0,2,1
43,23,1,3,27,1,3,1
44,1,23,3,27,0,3,1
45,4,29,3,22,1,2,1
46,29,4,3,22,0,3,1
47,5,16,3,23,1,2,1
48,16,5,3,23,0,3,1
49,12,10,3,24,1,3,1
50,10,12,3,24,0,3,1
51,20,9,3,26,1,2,1
52,9,20,3,26,0,5,1
53,25,31,3,28,1,3,1
54,31,25,3,28,0,3,1
55,14,3,3,25,1,3,1
56,3,14,3,25,0,2,1
57,11,21,3,30,1,4,1
58,21,11,3,30,0,3,1
59,2,8,3,29,1,4,1
60,8,2,3,29,0,5,1
61,3,25,4,31,1,3,1
62,25,3,4,31,0,4,1
63,1,4,4,32,1,3,1
64,4,1,4,32,0,3,1
65,8,14,4,33,1,2,1
66,14,8,4,33,0,4,1
67,10,15,4,34,1,2,1
68,15,10,4,34,0,3,1
69,18,12,4,35,1,2,1
70,12,18,4,35,0,4,1
71,31,11,4,37,1,3,1
72,11,31,4,37,0,3,1
73,29,2,4,36,1,4,1
74,2,29,4,36,0,3,1
75,9,5,4,38,1,2,1
76,5,9,4,38,0,2,1
77,21,20,4,39,1,4,1
78,20,21,4,39,0,4,1
79,16,23,4,40,1,2,1
80,23,16,4,40,0,3,1
81,4,8,5,41,1,4,1
82,8,4,5,41,0,3,1
83,31,3,5,48,1,3,1
84,3,31,5,48,0,3,1
85,5,2,5,42,1,4,1
86,2,5,5,42,0,3,1
87,11,15,5,43,1,2,1
88,15,11,5,43,0,3,1
89,23,14,5,46,1,2,1
90,14,23,5,46,0,3,1
91,25,9,5,47,1,2,1
92,9,25,5,47,0,3,1
93,1,18,5,49,1,4,1
94,18,1,5,49,0,3,1
95,16,10,5,44,1,3,1
96,10,16,5,44,0,3,1
97,20,29,5,45,1,2,1
98,29,20,5,45,0,5,1
99,12,21,5,50,1,4,1
100,21,12,5,50,0,3,1
101,2,16,6,51,1,2,0
102,16,2,6,51,0,5,0
103,3,4,6,52,1,3,0
104,4,3,6,52,0,4,0
105,8,1,6,53,1,3,0
106,1,8,6,53,0,4,0
107,15,12,6,57,1,2,0
108,12,15,6,57,0,2,0
109,29,5,6,60,1,2,0
110,5,29,6,60,0,3,0
111,21,31,6,59,1,3,0
112,31,21,6,59,0,4,0
113,10,25,6,55,1,3,0
114,25,10,6,55,0,3,0
115,14,11,6,56,1,3,0
116,11,14,6,56,0,2,0
117,18,20,6,58,1,4,0
118,20,18,6,58,0,4,0
